Tips to and from: *
===================
Start (UTC): 2014.08.20 00:00:00
End (UTC): 2014.08.23 17:07:34

Summary
-------
Incoming: Ɖ27,139,818 (2,088 tips)
Outgoing: Ɖ0 (0 tips)
Net: Ɖ27,139,818

Tippers (incoming): 210
-----------------------
Nick              Amount, Ɖ   Tips   %     
----------------  ----------  -----  ------
moolah            24,001,325      1   88.44
heathkid           1,002,898      3    3.70
codicai              297,126     13    1.09
dogexm               245,698      6    0.91
codica               147,507     71    0.54
ninjahamstah         146,832     25    0.54
forlotto             129,617    194    0.48
tinyminer            116,035     43    0.43
thedoctorisadoge     109,515     39    0.40
allcryptocoins        98,834    123    0.36
raedchen              73,593     26    0.27
doge7666              57,544     18    0.21
cr5315                51,386     34    0.19
emperorlou            44,800      7    0.17
tomriddle             44,589      7    0.16
pringers              35,000      1    0.13
bugs_                 33,007     12    0.12
bo7a                  30,909     31    0.11
zachattack10000       24,386      4    0.09
u77                   23,222      3    0.09
dark-fx               19,080      1    0.07
bill48105             17,685      6    0.07
clarkz                16,119      2    0.06
jobeanie123           15,351     19    0.06
stapler117            15,105      7    0.06
sir_foot_grow         15,000      5    0.06
readonly21            13,701     61    0.05
suchwow               13,299      7    0.05
i_                    13,079      1    0.05
pupe                  10,244      9    0.04
opmoonshot            10,149     13    0.04
mniip                 10,000      1    0.04
ohsnow                 9,202     11    0.03
foodstamp              8,500      8    0.03
fury                   8,421      4    0.03
wferr                  8,396     58    0.03
i-p-l                  7,382      6    0.03
leuqarte               7,109     20    0.03
gaf                    6,537     48    0.02
bloodskin              6,313      1    0.02
dbr                    6,145      8    0.02
projectmayhem666       6,000      1    0.02
thekingofpoon          6,000      2    0.02
ireallyhadtocomm       5,839     35    0.02
quomuyo                5,662     33    0.02
keksblaster            5,439      9    0.02
happyshibe6291         5,385      7    0.02
nikashi                5,145      2    0.02
teololtoy              4,798     17    0.02
keksman                4,586     29    0.02
kerosene               4,530     10    0.02
soco_cpp_              4,500     11    0.02
ap0calypse             4,403     17    0.02
silly_shibe            4,241     21    0.02
rushny                 4,219     10    0.02
vbstrdg                3,777     33    0.01
moarrr                 3,686      4    0.01
gaming4jc              3,661     37    0.01
alleykat               3,602     16    0.01
dajohnso4374           3,550      4    0.01
mybit                  3,538      4    0.01
jahus                  3,322     22    0.01
buzz                   3,153     18    0.01
pandemic_force         3,000      2    0.01
meckpomm               2,935    111    0.01
g_qu                   2,545      8    0.01
sintaxg                2,530      3    0.01
dd321123               2,400      1    0.01
gearboxx               2,231     19    0.01
giveisland             2,214      2    0.01
poorwillhunting        2,100      3    0.01
nagzter                2,040      6    0.01
nutstun                2,010      3    0.01
bigred777              1,974      8    0.01
hellolleh              1,885     72    0.01
sopaxorztaker          1,868      6    0.01
platn                  1,853      2    0.01
yakpimp                1,756      1    0.01
langly                 1,694      7    0.01
mattsmithdw            1,693      2    0.01
nucular                1,679      5    0.01
koo5ha                 1,647      7    0.01
droid909               1,585      8    0.01
artsy                  1,430      1    0.01
theinterocitor         1,394      4    0.01
starhorder             1,392      1    0.01
raptorjesus            1,391      2    0.01
theliloboy             1,343    105    0.00
exadeci                1,336     32    0.00
hydro187               1,333      1    0.00
sammosidekick          1,310      6    0.00
david                  1,300      5    0.00
deagleee               1,212      8    0.00
spicy_                 1,101      3    0.00
itsluke                1,060      5    0.00
nmek                   1,039      1    0.00
therelic               1,038      1    0.00
